customer_id,recency_days,frequency,monetary_total,avg_order_value,tenure_days,delivery_share,avg_items_per_order,item_diversity,tip_rate,modifiers_per_order,lapsed
1,25,5,65.80,13.160000,340,0.00000,1.2000,2,0.000000,0.0000,0
2,59,2,119.41,59.705000,306,0.00000,2.5000,5,0.000000,3.5000,1
4,26,13,792.39,60.953077,339,1.00000,4.3077,8,0.133735,1.6154,0
8,5,9,321.71,35.745556,360,0.00000,1.8889,6,0.027976,1.8889,0
9,6,7,133.57,19.081429,359,0.00000,1.8571,8,0.086696,2.2857,1
10,3,36,1146.66,31.851667,362,0.80556,3.6944,32,0.045018,2.7222,0
14,49,38,990.38,26.062632,316,0.44737,1.2368,9,0.079263,1.7632,0
17,7,29,1319.43,45.497586,358,0.00000,2.5517,8,0.143244,1.1379,0
20,45,15,277.12,18.474667,320,0.00000,1.1333,3,0.000000,1.7333,1
21,9,14,690.16,49.297143,356,1.00000,1.7857,10,0.119349,1.2143,0
22,3,52,1101.05,21.174038,362,0.00000,1.4423,31,0.089914,0.9615,0
23,9,19,1133.80,59.673684,356,1.00000,3.5789,21,0.126125,4.6842,0
25,70,122,3050.87,25.007131,295,0.92623,1.5738,23,0.137095,1.8607,0
27,21,8,376.52,47.065000,344,1.00000,3.1250,13,0.087539,3.1250,0
28,27,12,582.76,48.563333,338,0.08333,2.3333,7,0.116188,3.8333,0
29,25,7,263.49,37.641429,340,0.57143,2.1429,3,0.053133,0.8571,0
30,33,13,500.78,38.521538,332,0.38462,3.1538,13,0.074783,3.4615,0
33,25,11,443.22,40.292727,340,0.90909,3.8182,8,0.058662,0.3636,0
34,31,8,621.98,77.747500,334,0.25000,4.3750,15,0.090035,5.7500,0
35,1,14,917.62,65.544286,364,0.28571,3.5000,20,0.010898,1.7143,0
36,6,30,1074.47,35.815667,359,0.93333,2.2000,20,0.116429,2.4333,0
41,14,14,312.44,22.317143,351,0.00000,1.2857,5,0.000000,0.5714,0
43,84,6,301.06,50.176667,281,0.83333,2.3333,4,0.083040,0.8333,1
47,34,20,530.30,26.515000,331,0.20000,1.7500,17,0.039600,1.4000,0
49,30,15,944.77,62.984667,335,0.46667,4.2667,14,0.082634,2.8000,0
50,1,14,882.91,63.065000,364,0.00000,4.5000,24,0.038350,1.6429,0
51,45,10,481.99,48.199000,320,1.00000,3.0000,13,0.141082,2.1000,0
56,44,7,339.11,48.444286,321,1.00000,2.7143,6,0.099230,2.1429,0
57,5,47,1414.31,30.091702,360,0.74468,1.8298,24,0.033232,0.8085,0
59,21,8,587.17,73.396250,344,0.37500,11.5000,15,0.142599,7.3750,1
60,49,12,327.20,27.266667,316,1.00000,1.3333,5,0.030562,1.8333,1
61,17,21,671.83,31.991905,348,0.85714,1.8571,20,0.022327,2.8095,0
63,13,7,477.38,68.197143,352,0.71429,3.7143,19,0.071222,6.4286,0
64,3,8,248.91,31.113750,362,1.00000,2.2500,9,0.000000,0.2500,0
68,11,32,1507.55,47.110938,354,1.00000,2.2500,22,0.094856,0.5000,0
70,19,11,515.20,46.836364,346,0.36364,3.1818,28,0.054348,2.1818,0
74,22,9,692.64,76.960000,343,0.00000,3.4444,7,0.043746,4.3333,0
77,13,42,917.54,21.846190,352,0.00000,1.4524,9,0.000000,1.5714,0
78,9,57,2880.28,50.531228,356,1.00000,2.1228,8,0.168230,1.0526,0
79,33,2,55.64,27.820000,332,0.50000,2.0000,4,0.000000,1.0000,1
82,28,28,867.81,30.993214,337,1.00000,2.5000,12,0.087577,2.6429,0
83,28,5,315.78,63.156000,337,1.00000,3.0000,10,0.139338,1.2000,0
85,16,12,267.86,22.321667,349,0.91667,1.3333,9,0.091204,1.3333,0
87,12,18,513.79,28.543889,352,0.00000,1.4444,11,0.144028,4.8889,0
92,8,3,444.44,148.146667,356,0.00000,6.6667,8,0.004500,3.0000,0
94,4,22,502.38,22.835455,360,0.00000,1.5909,13,0.000000,1.1364,0
95,63,9,313.78,34.864444,301,0.00000,2.3333,3,0.000000,2.5556,0
96,56,12,650.10,54.175000,308,0.00000,3.4167,10,0.148685,5.0000,0
97,2,82,1434.39,17.492561,362,0.00000,2.2805,15,0.000000,0.4512,0
98,2,17,457.54,26.914118,362,0.29412,1.9412,19,0.028413,1.9412,0
101,2,58,2087.23,35.986724,362,0.94828,2.8966,25,0.113840,1.6897,0
102,23,12,382.54,31.878333,341,0.00000,1.7500,3,0.000000,3.8333,0
103,78,9,480.42,53.380000,286,0.00000,4.3333,22,0.047875,1.8889,0
104,48,30,1084.66,36.155333,316,0.30000,2.7667,38,0.025547,1.7000,0
108,22,28,1020.13,36.433214,342,0.03571,3.2500,20,0.013724,1.7857,0
109,63,8,690.98,86.372500,301,1.00000,4.1250,4,0.000000,4.0000,0
111,14,10,744.59,74.459000,350,0.00000,8.8000,9,0.033576,1.9000,0
117,63,7,164.08,23.440000,301,0.28571,1.7143,6,0.031570,1.8571,0
120,72,3,178.00,59.333333,292,1.00000,14.6667,9,0.164438,0.3333,0
121,30,16,910.91,56.931875,334,0.75000,4.0000,27,0.003293,2.4375,0
122,84,2,44.94,22.470000,280,0.00000,1.5000,3,0.000000,0.0000,0
123,9,11,707.75,64.340909,355,0.81818,4.0000,21,0.000000,2.3636,0
125,25,3,82.85,27.616667,339,0.00000,2.6667,5,0.012070,0.3333,1
127,62,4,51.80,12.950000,301,0.25000,2.0000,7,0.078764,2.2500,0
128,10,11,135.68,12.334545,353,0.00000,1.0000,2,0.022111,0.9091,0
129,26,7,165.57,23.652857,337,0.00000,2.1429,13,0.083952,2.0000,0
131,84,18,597.92,33.217778,279,0.33333,2.1667,21,0.018397,1.7778,0
133,30,17,797.99,46.940588,333,0.05882,3.1765,19,0.013785,1.3529,0
135,57,11,227.90,20.718182,306,0.00000,1.5455,13,0.000000,1.0000,1
137,5,69,1468.04,21.275942,358,1.00000,1.7536,4,0.000000,0.0000,0
138,18,17,859.82,50.577647,345,0.76471,3.4118,30,0.093333,4.5882,0
141,8,15,335.98,22.398667,355,1.00000,2.0667,4,0.000000,0.0000,0
143,4,21,695.22,33.105714,359,0.00000,2.1905,14,0.000000,2.5714,0
146,5,28,827.55,29.555357,358,0.00000,2.3929,22,0.033835,0.7857,0
147,76,25,1125.13,45.005200,287,0.76000,2.9200,15,0.073778,2.6800,0
150,49,5,154.22,30.844000,314,0.00000,2.0000,7,0.023473,0.6000,0
151,13,37,2288.23,61.844054,350,0.91892,3.5135,26,0.108022,4.8108,0
152,51,14,632.10,45.150000,312,1.00000,3.4286,16,0.000000,1.0714,0
156,1,13,279.13,21.471538,362,0.00000,1.0000,10,0.007165,0.1538,0
162,67,2,47.97,23.985000,295,1.00000,1.0000,2,0.118824,3.0000,0
163,12,10,135.21,13.521000,350,0.00000,1.7000,7,0.014792,1.2000,0
164,67,2,31.96,15.980000,295,0.00000,1.5000,3,0.062578,0.5000,1
165,5,27,493.78,18.288148,357,0.03704,2.6667,19,0.030378,1.7037,0
166,23,36,989.49,27.485833,339,0.02778,3.0278,17,0.037393,2.1944,0
172,26,21,573.01,27.286190,336,0.09524,2.0000,10,0.024432,1.5238,0
174,5,53,1559.36,29.421887,357,0.00000,2.0755,16,0.010902,3.3585,0
175,44,17,811.18,47.716471,318,0.35294,3.8235,23,0.110949,2.3529,1
178,43,6,238.66,39.776667,319,0.66667,2.5000,9,0.144767,2.3333,0
179,8,26,604.87,23.264231,354,0.00000,4.3846,15,0.029758,1.0000,0
